,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019
26,boots flu jab (-0.32),flu symptoms (0.33),flu temperature (0.31),swine flu vaccine (-0.48),the swine flu (-0.47)
27,influenza b (0.32),flu contagious period (0.32),flu vaccine children (-0.29),la influenza (-0.47),flu jabs (-0.47)
28,baby flu (-0.32),what is the flu (-0.31),flu deaths uk (0.29),man flu (0.45),flu virus (0.47)
29,freshers flu (-0.31),flu temperature (0.31),sickness (-0.28),flu symptoms in children (0.45),winter flu (0.45)
30,flu in children (0.30),influenza b (0.30),signs of flu (0.28),infections (-0.42),what is the flu (-0.44)
31,flu duration (0.30),new flu (0.29),flue (0.27),flu update (-0.39),infection (-0.43)
32,flu symptoms in children (0.29),flu duration (0.28),flu remedies (0.26),baby flu (-0.37),flu vaccine ingredients (-0.43)
33,latest flu virus (0.29),flu bug (0.28),after effects of flu (-0.25),flu jab uk (0.37),the flu jab (-0.43)
34,flu injections (-0.28),flu vaccine children (-0.28),stomach flu nhs (0.25),what is the flu (-0.35),boots flu (-0.40)
35,how long does the flu last (0.28),how long does a flu last (-0.27),flu duration (0.22),swine flu treatment (0.32),flu vaccine uk (-0.40)
36,how long does a flu last (-0.27),latest flu virus (0.26),flu jab while pregnant (0.22),uk flu (-0.32),flu vaccination (-0.39)
37,new flu (0.26),flu treatment (0.26),flu symptoms nhs (0.22),influenza symptoms (0.32),flu a (0.39)
38,flu temperature (0.26),how long does the flu last (0.25),cure for flu (-0.21),flu deaths uk (0.32),flu vaccine children (-0.39)
39,flu treatment (0.25),stomach flu nhs (0.25),latest flu virus (0.21),flu injections (-0.31),flu spray (0.36)
40,symtoms of swine flu (0.25),flu remedies (0.25),pharmacy flu jab (-0.21),the flu jab (-0.30),throat cough (-0.36)
41,flu remedies (0.24),the flu shot (-0.22),swine influenza (0.21),swine flu latest (0.29),cough and cold (-0.36)
42,flu recovery (0.24),baby flu (-0.22),flu prevention (0.21),flu cold (0.28),flu symptoms in children (0.34)
43,how to get over the flu (0.23),free flu jab (-0.21),free flu jab (-0.20),swine flu symptons (-0.28),how long flu (0.33)
44,flu virus (0.21),flu in pregnancy (0.21),high fever (0.20),swine flu cases (0.28),swine flu treatment (0.33)
45,flu in babies (0.21),symtoms of swine flu (0.20),flu jab asda (-0.19),flu cough (0.27),baby flu (-0.32)
46,flu jab reactions (-0.21),flu prevention (0.20),vomiting (-0.19),flu vaccine uk (-0.27),pneumonia (0.32)
47,stomach flu nhs (0.21),flu jab reactions (-0.19),symptoms of influenza (-0.18),free flu vaccine (-0.27),how long does the flu last (0.31)
48,flu jab while pregnant (0.20),how to get over the flu (0.19),what is the flu (-0.17),flu temperature (0.27),get sick (0.31)
49,seasonal flu vaccine (0.20),best medicine for flu (0.19),cold and flu tablets (-0.16),side effects of flu (0.27),flu symptoms nhs (0.31)
