,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019
27,flu remedies (0.29),flu temperature (0.28),flu duration (0.24),flu spray (0.38),flu symptoms in children (0.44)
28,latest flu virus (0.28),flu jab while pregnant (0.28),flu remedies (0.24),swine flu latest (0.37),flu advice (-0.43)
29,flu jab reactions (-0.27),what are the symptoms of flu (-0.27),free flu vaccine (-0.23),swine flu game (-0.37),flu symptoms nhs (0.42)
30,stomach flu nhs (0.24),latest flu virus (0.26),stomach flu nhs (0.23),winter flu (0.37),la influenza (-0.41)
31,flu symptoms child (-0.23),flu jab reactions (-0.24),flu jab pregnancy (0.22),baby flu (-0.36),stomach flu (-0.40)
32,how to get rid of flu (0.23),freshers flu (-0.24),pharmacy flu jab (-0.21),what is the flu (-0.36),symptoms of the flu (-0.39)
33,flu temperature (0.23),stomach flu nhs (0.23),signs of flu (0.21),swine flu vaccine (-0.36),swine flu game (-0.39)
34,pharmacy flu jab (-0.22),flu prevention (0.21),what is the flu (-0.21),sainsburys flu jab (-0.35),flu vaccine children (-0.38)
35,flu in pregnancy (0.21),new flu (0.21),swine influenza (0.21),flu vaccine uk (-0.35),flu nhs (0.38)
36,flu and diarrhea (-0.20),pharmacy flu jab (-0.20),what are the symptoms of flu (-0.21),cold and flu (-0.35),flu deaths uk (0.37)
37,flu prevention (0.19),flu injections (-0.20),best cure for flu (-0.20),flu vaccine ingredients (-0.33),flu vaccine ingredients (-0.37)
38,flu injections (-0.19),flu symptoms child (-0.20),the flu shot (-0.20),swine flu uk (0.33),have the flu (0.34)
39,flu virus (0.19),after effects of flu (-0.18),flu injections (-0.19),flu deaths uk (0.32),flu jab pregnancy (0.34)
40,signs of flu (0.19),signs of flu (0.17),after effects of flu (-0.19),influenza symptoms (0.32),winter flu (0.32)
41,free flu jab (-0.19),flu deaths uk (0.17),flu deaths uk (0.19),the flu jab (-0.32),flu vaccine uk (-0.32)
42,how to get over the flu (0.18),what is the flu (-0.17),flu prevention (0.18),symptoms of the flu (-0.31),flu a (0.32)
43,what is the flu (-0.18),symptoms of influenza (-0.17),flu vaccine ingredients (-0.18),flu update (-0.31),the flu symptoms (0.31)
44,new flu (0.18),how to get over the flu (0.16),flu symptoms child (-0.17),flu cold (-0.29),private flu jab (-0.30)
45,how to treat the flu (0.18),best medicine for flu (0.16),flu in children (0.17),flu symptom (-0.29),flu epidemic (0.30)
46,child nasal flu vaccine (0.17),free flu vaccine (-0.14),symptoms of influenza (-0.17),new flu (0.28),baby flu (-0.29)
47,after effects of flu (-0.17),cure for flu (-0.14),best medicine for flu (0.17),flu jab uk (0.28),flu virus (0.29)
48,symptoms of influenza (-0.16),the flu shot (-0.14),how to get over the flu (0.16),flu temperature (0.28),flu symptoms last (0.29)
49,flu jab vaccine (-0.16),flu vaccine children (-0.14),flu vaccine children (-0.16),best cure for flu (-0.27),influenza symptoms (0.28)
