,Query,Cosine Similarity
131,aussie flu uk,0.7504997
132,best thing for flu,0.7502841
133,symptom of flu,0.7498945
134,symptoms of flu,0.7491386
135,influenza b,0.7484106
136,is it flu or cold,0.74803495
137,flu symptoms nhs,0.7475975
138,bird flu,0.7471676
139,flu headache,0.7470113
140,dog flu,0.7461935
141,flu camp,0.7461287
142,flu symptoms 2017,0.7452638
143,symptoms of the flu,0.7434751
144,recovery from flu,0.7433795
145,flu in babies,0.7425684
146,the swine flu,0.7419404
147,spanish flu pandemic,0.7416832
148,do i have the flu,0.74142647
149,flu jabs,0.7383874
150,flu shot,0.73801994
151,flu tablets,0.737056
152,flu tracker,0.736282
153,child with flu,0.7358317
154,flu symptoms 2018,0.73555404
155,colds and flu,0.73550683
156,la influenza,0.7352735
157,flu symptoms 2016,0.73461044
158,flu when pregnant,0.7345239
159,flu symptoms uk,0.73405534
160,pig flu,0.73306906
161,aussie flu nhs,0.7317095
162,flu like symptoms,0.7314178
163,food for flu,0.7311412
164,stages of flu,0.7283009
165,flu in pregnancy,0.72827744
166,spanish influenza,0.72760785
167,get flu jab,0.72696495
168,medicine for flu,0.7263163
169,the flu jab,0.7252363
170,flu game 12,0.7249324
171,flu during pregnancy,0.7245275
172,latest flu virus,0.72338235
173,flu antibiotics,0.72331774
174,flu deaths 2019,0.72184277
175,flu injections,0.72165895
176,google flu trends,0.72117233
177,flu jab 2016,0.72068226
178,freshers flu,0.72067654
179,after the flu,0.720585
180,flu while pregnant,0.720517
181,flu mask,0.7200682
182,cold vs flu,0.72001654
183,best cure for flu,0.719844
184,best flu medicine,0.71980023
185,i have the flu,0.71919906
186,flu spray,0.71901405
187,i have a flu,0.7168045
188,flu in toddlers,0.7167034
189,swine influenza,0.7166491
190,australian flu nhs,0.71634436
191,flu jab 2018,0.71585363
192,avian flu,0.71558285
193,flu map,0.7150751
194,flu jab 2017,0.71490896
195,influenza symptoms,0.7148585
196,man flu meme,0.7130739
197,current flu virus,0.7116813
198,flu remedies,0.7114904
199,flu vaccination,0.71131366
200,swine flu pandemic,0.71087533
201,after effects of flu,0.71001726
202,flu medicine uk,0.7097503
203,the flu vaccine,0.70895255
204,flu incubation,0.70786595
205,flu symptoms child,0.70772517
206,flu jab 2021,0.7073052
207,stomach flu nhs,0.70692396
208,coronavirus cold or flu,0.7065772
209,spanish flu epidemic,0.704173
210,flu deaths 2020,0.70231175
211,what is influenza,0.70219904
212,flu symptom checker,0.70099926
213,flu temperature,0.7005594
214,how to prevent flu,0.69880223
215,what are the symptoms of the flu,0.6982289
216,flu jab asda,0.69745827
217,best medicine for flu,0.69738084
218,flu jab 2020,0.69706494
219,hong kong flu,0.6967478
220,flu or cold test,0.6965715
221,avian influenza,0.69519264
222,nhs direct flu,0.6945857
223,what are flu symptoms,0.69319737
224,book a flu jab,0.6931312
225,about swine flu,0.69249177
226,do i have flu or cold,0.6924461
227,cold or flu nhs,0.69238865
228,flu deaths uk,0.6923671
229,best way to get rid of flu,0.6916824
230,what are the symptoms of flu,0.69168156
231,influenza treatment,0.69033086
232,swine flu 2016,0.68998617
233,nhs child flu,0.68978834
234,early flu symptoms,0.68967307
235,flu contagious period,0.6880257
236,influenza vaccine,0.68785197
237,flu jab uk,0.68774664
238,illnesses,0.68764144
239,swine flu uk,0.6858611
240,flu symptoms 2022,0.68363166
241,stomach flu contagious,0.6836095
242,flu after flu jab,0.6826899
243,flu symptoms last,0.68216896
244,do i have a cold or flu,0.6811711
245,what medicine for flu,0.68101823
246,how long flu,0.6808589
247,flu symptoms in adults,0.6802597
248,gastric flu,0.680026
249,h1n1 flu,0.6797148
250,how to cure flu,0.6784886
251,book flu jab,0.6780343
252,treatment for flu,0.67800176
253,is flu contagious,0.67796254
254,cold or flu quiz,0.6770897
255,flu vs coronavirus,0.6760478
256,flu vaccinations,0.6759732
257,flu jab child,0.6753981
258,flu in early pregnancy,0.6753633
259,swine flu outbreak,0.67434263
260,how to get rid of flu,0.674104
261,winter flu jab,0.673535
262,swine flu nhs,0.67336273
263,medication for flu,0.67232704
264,influenza b virus,0.6720976
265,the flu shot,0.67156756
266,how to get over flu,0.67069423
267,cold flu medicine,0.66984546
268,cough after flu,0.66942394
269,flu side effects,0.66807234
270,how to recover from flu,0.66799587
271,coronavirus or flu or cold,0.66783184
272,is the flu contagious,0.6677681
273,flu virus symptoms,0.667578
274,influenza type a,0.66615117
275,flu jab nhs,0.6653798
276,flu symptoms in children,0.6650845
277,swine flu news,0.6645404
278,flu vaccine 2019,0.6640551
279,swine flu virus,0.6638799
280,flu jab near me,0.66373724
281,when is flu season,0.6634691
282,illness,0.6631517
283,symptoms of influenza,0.662843
284,side effects of flu,0.6624778
285,best flu remedies,0.66227293
286,best flu medicine uk,0.6622505
287,flu vaccine uk,0.66211164
288,swine flu latest,0.6617869
289,how to get rid of a flu,0.66163206
290,flu vaccine nhs,0.66139305
291,how to cure the flu,0.66123956
292,how to get rid of the flu,0.66100836
293,australian flu symptoms nhs,0.6602566
294,flu remedies uk,0.66013855
295,australian flu symptoms,0.6588727
296,bird flu pandemic,0.6560224
297,swine flu update,0.65587103
298,flu recovery time,0.6554494
299,flu deaths 2020 uk,0.65519726
300,remedies for flu,0.65507364
301,swine flu cdc,0.65485895
302,free flu jab,0.654405
303,fever,0.65437645
304,aussie flu symptoms 2017,0.65429157
305,baby flu jab,0.654244
306,tattoo flu,0.65410644
307,how to treat flu,0.6533281
308,swine flu cases,0.6521518
309,flu sore throat,0.6520514
310,antibiotics for flu,0.6513721
311,best remedies for flu,0.65094805
312,booking flu jab,0.650628
313,man flu video,0.65059745
314,baby swine flu,0.65023565
315,what is man flu,0.65009236
316,how to get over the flu,0.64974874
317,flu how long does it last,0.64937013
318,bird flu virus,0.6487309
319,flu vaccine 2017,0.6487293
320,cold or flu symptoms,0.64723706
321,book flu vaccine,0.6470834
322,swine flu epidemic,0.64695007
323,flu home remedies,0.6460499
324,flu b symptoms,0.64566535
325,uk flu deaths 2019,0.64560044
326,aussie flu symptoms nhs,0.64541364
327,sainsburys flu jab,0.6451
328,influenza vaccination,0.6448688
329,boots flu,0.6448672
330,aussie flu symptoms,0.6448318
331,flu vaccine 2018,0.64391583
332,difference between a cold and flu,0.64333
333,flu vaccine 2016,0.6429916
334,free flu shots,0.6422577
335,bird flu uk,0.64197123
336,private flu jab,0.64163274
337,what to take for flu,0.6407421
338,symptoms of australian flu,0.6403874
339,how to treat the flu,0.6393894
340,sickness virus,0.6385418
341,flu vaccine baby,0.63807297
342,live flu vaccine,0.6373392
343,swine flu game,0.63646996
344,antiviral for flu,0.6351834
345,free flu jabs,0.6349793
346,flu vaccine 2020,0.6349162
347,antivirals for flu,0.6345517
348,china bird flu,0.63392174
349,free flu vaccine,0.6335737
350,stomach flu symptoms,0.6334317
351,nurofen cold and flu,0.6332866
352,sickness,0.63325834
353,spanish flu symptoms,0.6320595
354,ebola,0.6316228
355,beechams flu plus,0.6316023
356,avian flu latest,0.63110983
357,child flu spray,0.63104707
358,swine flu spread,0.6307937
359,flu jab pregnant,0.6293992
360,symptoms of aussie flu,0.62925446
361,avian bird flu,0.6291848
362,reaction to flu jab,0.62907314
363,flu jab reactions,0.62902534
364,flu nasal spray,0.62814116
365,flu jab pregnancy,0.62637913
366,how to get rid of flu fast,0.6260164
367,seasonal flu vaccine,0.62443
368,flu vaccine pregnancy,0.6240687
369,home remedies for flu,0.62403774
370,swine flu jab,0.6240212
371,ebola disease,0.6230086
372,h1n1 influenza,0.622151
373,green book influenza,0.6213856
374,swine flu facts,0.621108
375,lloyds flu jab,0.6194161
376,pharmacy flu jab,0.6193043
377,should i have the flu jab,0.6185163
378,lemsip cold and flu,0.61818916
379,how did spanish flu end,0.6177932
380,flu like symptoms pregnant,0.61699784
381,flu vaccine near me,0.6162768
382,bird flu wales,0.6143497
383,flu vaccine pregnant,0.614132
384,child flu vaccine,0.61348236
385,nasal flu vaccine,0.61340696
386,flu incubation period,0.61322504
387,signs of swine flu,0.61273
388,flu jab with a cold,0.6124908
389,h3n8 bird flu,0.6124739
390,outbreak,0.61230206
391,when is flu contagious,0.6118064
392,wine flu,0.61156416
393,flu vaccine children,0.61155
394,flu vaccine 2017 uk,0.61133885
395,symptoms of stomach flu,0.6112927
396,symptoms swine flu,0.6108604
397,hay fever,0.61038214
398,flue,0.60982066
399,cold and flu symptoms,0.6096891
400,tesco flu jab,0.60920924
401,ebola outbreak,0.6087345
402,swine flu symtoms,0.6078481
403,antiviral drugs for flu,0.6071588
404,cold and flu relief,0.6071151
405,natural remedies for flu,0.607015
406,ebola epidemic,0.6065537
407,difference between cold and flu,0.60654795
408,how many people die from flu,0.60649735
409,flu jab for child,0.606439
410,flu vaccine 2018 uk,0.60643345
411,natural flu remedies,0.6061501
412,virus ebola,0.6052121
413,bird flue,0.6034236
414,what is the swine flu,0.60299027
415,what is influenza b,0.60255945
416,effects of flu jab,0.6018658
417,how long does flu last,0.60178804
418,cold flu symptoms,0.6011603
419,ebola crisis,0.60100675
420,boots cold and flu,0.6005606
421,how long does the flu last,0.59961987
422,incubation period for flu,0.5996122
423,effects of swine flu,0.5991488
424,influenza b symptoms,0.5989452
425,flu vaccine for child,0.5987614
426,fever contagious,0.59824973
427,fever virus,0.59775287
428,swine flu death,0.5975787
429,swine flu vaccine,0.5974781
430,flu jab symptoms,0.597221
431,flu jab for children,0.59527856
432,swine flu treatment,0.59492344
433,cholera,0.59426886
434,cough and fever,0.5939929
435,what to eat when you have the flu,0.59328
436,cold and flu medicine,0.5926872
437,flu vaccine ingredients,0.5926829
438,how long can flu last,0.5921309
439,what is the flu vaccine,0.5911341
440,pneumonia,0.5902561
441,cold fever,0.5897032
442,flu shot reactions,0.58897406
443,get sick,0.58840615
444,superdrug flu jab,0.5881254
445,swine flu symptons,0.58782196
446,swine flu map,0.5874796
447,flu vaccine for children,0.5871238
448,fevers,0.58584446
449,is the flu jab safe,0.58503675
450,flu vaccine pharmacy,0.5847436
451,epidemic pandemic,0.58445656
452,cough fever,0.5834941
453,how long does a flu last,0.5830908
454,the ebola outbreak,0.58306694
455,symtoms of swine flu,0.5827781
456,bird flu 2023,0.58249044
457,symptoms of the swine flu,0.58247185
458,ebola virus disease,0.58225477
459,swine flu deaths,0.5810358
460,should i get a flu shot,0.58017623
461,flu jab while pregnant,0.57981557
462,where can i get flu jab,0.5796076
463,flu jab vaccine,0.579182
464,what is swine flu,0.579047
465,flu jab in pregnancy,0.5785929
466,sickness and,0.5784027
467,hay fever cough,0.57713544
468,a fever,0.5764854
469,boots flu jabs,0.5763395
470,sick virus,0.57509977
471,pandemic,0.57493263
472,have fever,0.5744835
473,michael jordan flu game,0.5741047
474,boots flu jab,0.5739365
475,hay fever or cold,0.57341355
476,high fever,0.573153
477,swine flu vaccination,0.5726524
478,boots flu vaccine,0.57152283
479,lemsip max cold and flu,0.571068
480,be sick,0.57091826
481,fever and vomiting,0.57076114
482,the ebola virus,0.57071793
483,news ebola,0.5706644
484,viral cough,0.5706327
485,bird flu 2022,0.5706082
486,stop sickness,0.57035375
487,sickness bug,0.5697555
488,how long is the flu contagious,0.56966233
489,about ebola,0.56942546
490,best cold and flu medicine,0.56915057
491,flu jab when pregnant,0.5690855
492,swine flu symptoms checker,0.56895864
493,bird flu symptoms,0.56766915
494,infection,0.56537753
495,cold and fever,0.5649041
496,cheerleader flu shot,0.5648017
497,flu vaccine in pregnancy,0.5645974
498,cold and flu tablets,0.5640423
499,how long are you contagious with the flu,0.5637169
500,how long to recover from flu,0.56211245
501,tesco pharmacy flu jab,0.56210256
502,boots flu jab 2020,0.5620305
503,viral cold,0.56167495
504,flu jab cost,0.5612619
505,24 hour sickness,0.5608574
506,symptoms of swine flu,0.5603236
507,infectious disease,0.5596559
508,contagious diseases,0.5579605
509,ebola uk,0.55729383
510,bird flu restrictions,0.55718577
511,swine flu antiviral,0.556633
512,ebola spread,0.5564573
513,flu vaccine side effects,0.55602187
514,flu vaccine when pregnant,0.5547409
515,infectious diseases,0.5547209
516,how long do flu symptoms last,0.55445397
517,yellow fever,0.5543376
518,sickness diarrhea,0.5535909
519,lloyds pharmacy flu jab,0.55313134
520,vomiting virus,0.5528435
521,ebola symptoms,0.5526241
522,infected,0.5520983
523,how long is flu contagious,0.5518278
524,pandemic and epidemic,0.5497201
525,coughing,0.5486148
526,flu vaccine for pregnant,0.54812276
527,bird flu vaccine,0.5479609
528,vomiting,0.54792625
529,feeling sick,0.5476239
530,flu injection side effects,0.5469637
531,h1n1 flu symptoms,0.5461346
532,illness symptoms,0.5461167
533,virus outbreak,0.5458484
534,infections,0.5452192
535,africa ebola,0.5441639
536,cholera disease,0.5437292
537,best medicine for cold and flu,0.5435461
538,rabbit fever,0.5431913
539,flu jab side effects 2018,0.5428379
540,flu vaccination side effects,0.5427652
541,sickness bugs,0.542547
542,hay fever uk,0.5424832
543,winter vomiting virus,0.54239166
544,ebola cases,0.5420352
545,coughing and vomiting,0.5419041
546,bird flu map,0.5411252
547,ebola in,0.541054
548,distributing vaccines and treatments for covid-19 and flu,0.540864
549,can humans get bird flu,0.5406453
550,no fever,0.5406152
551,ebola death,0.54054403
552,clinical infectious diseases,0.54047513
553,how many people die of flu each year uk,0.5400436
554,benylin 4 flu tablets,0.5399544
555,how long did the spanish flu last,0.5391145
556,cold virus,0.5388472
557,unwell,0.5371089
558,viral pneumonia,0.53656673
559,stop feeling sick,0.53608197
560,lassa fever,0.5349091
561,chills and fever,0.53467965
562,severe hay fever,0.53423184
563,fever injection,0.5341942
564,e coli outbreak,0.53398895
565,covid 19 cough,0.533528
566,child nasal flu vaccine,0.5333171
567,plague,0.53327245
568,ebola vaccine,0.5330776
569,pneumonia contagious,0.5328845
570,ebola chan,0.53275514
571,cough virus,0.5327292
572,swine flue symptoms,0.53235006
573,ebola latest,0.5321343
574,side effects of flu vaccine,0.53206825
575,stomach virus,0.5316481
576,is ebola,0.5297078
577,baby fever,0.52790165
578,cold and flu remedies,0.5276873
579,anti sickness,0.52679807
580,swine flu symptoms in adults,0.52636844
581,bad cold,0.5262768
582,who ebola,0.52562654
583,inflammatory diseases,0.5250857
584,diarrhea and sickness,0.524681
585,ebola cure,0.5241382
586,swine fever,0.5241295
587,how long did spanish flu last,0.5237529
588,diseases,0.52350557
589,cold flu remedies,0.5229918
590,systemic infection,0.52255005
591,have a fever,0.52186006
592,fever with chills,0.5217204
593,24 hour sickness bug,0.5211839
594,the symptoms of ebola,0.52117074
595,fever series,0.52086365
596,child fever,0.5208234
597,flu jab side effects,0.5205206
598,what are the symptoms of swine flu,0.5203101
599,gastric flu symptoms,0.5201662
600,cold or coronavirus,0.5192516
601,post viral fatigue,0.51857907
602,inflammation,0.51836824
603,fever nhs,0.5183362
604,got a cold,0.5177603
605,40 fever,0.51755977
606,spell pneumonia,0.5175214
607,balanced flue,0.5173366
608,immune disorders,0.51729923
609,virus disease,0.5169271
610,disease,0.5164001
611,39 fever,0.5160862
612,hay fever season,0.51576984
613,i have pneumonia,0.51457137
614,smallpox virus,0.5137109
615,fluu,0.5129705
616,fever cause,0.51256573
617,covid 19,0.51245785
618,whooping cough,0.5121813
619,swine flu symptoms in children,0.51214755
620,emerging infectious diseases,0.5118195
621,inflammatory disease,0.51142275
622,airborne virus,0.5105133
623,lemsip cold and flu capsules,0.51041657
624,respiratory infection,0.5101216
625,side effects of the flu jab,0.5093711
626,having a cold,0.50887865
627,low grade fever,0.5082171
628,side effects of flu jab,0.5079098
629,pandemic vs epidemic,0.50738275
630,anime fever,0.50737715
631,fever sore,0.5072825
632,fever cure,0.5069058
633,cold contagious,0.5066453
634,feel sick,0.5052974
635,scarlet fever,0.505215
636,immune system,0.5027776
637,q fever,0.50262153
638,ebola in africa,0.5024829
639,covid and runny nose,0.50227606
640,diarrhea,0.501394
641,ebola facts,0.5010198
642,headache and fever,0.50092113
643,baby being sick,0.50047773
644,viral infection,0.50009584
645,inflammatory,0.49943087
646,feeling unwell,0.49937266
647,immunity,0.49930125
648,infant fever,0.49921054
649,dog fever,0.49894592
650,ebola hemorrhagic fever,0.49827576
651,ebola treatment,0.49824804
652,viral diseases,0.49812856
653,critical illness,0.49811897
654,haiti cholera,0.49784195
655,ebola virus symptoms,0.4976942
656,symptoms of ebola,0.49719727
657,hay fever injection,0.49687514
658,flu vaccine child side effects,0.4962616
659,immune system diseases,0.49535522
660,virus,0.495093
661,be unwell,0.49461436
662,pneumonia jab,0.4941536
663,really bad cold,0.49394786
664,getting a cold,0.49377924
665,immune,0.49377692
666,terminal illness,0.49371722
667,acquired immunity,0.4936837
668,rheumatic fever,0.49362355
669,toddler fever,0.49344376
670,covid 19 sneezing,0.49308395
671,body aches no fever,0.49294335
672,coronavirus cough,0.49277264
673,corona virus cough,0.49241382
674,viral infections,0.49212152
675,severe cold,0.4920475
676,coronavirus fever,0.49166495
677,winter sickness,0.4911112
678,valley fever,0.4909123
679,covid and sneezing,0.4905599
680,vomit bug,0.48961306
681,fever pain,0.4895746
682,twin wall flue,0.48931822
683,journal of infectious diseases,0.4889589
684,chronic illness,0.4888742
685,covid vaccine,0.48826745
686,fever rash,0.48793986
687,eat when sick,0.48727608
688,sore throat and covid,0.48714328
689,viral fatigue,0.48689273
690,winter virus,0.48582876
691,your immune system,0.48500872
692,ebola virus facts,0.48475605
693,a viral infection,0.48434883
694,fever 38,0.48405457
695,covid 19 vaccine,0.4839883
696,covid19 vaccine,0.48393255
697,sore throat and fever,0.48353797
698,beechams cold and flu,0.48343864
699,bacterial pneumonia,0.48329833
700,inflamation,0.48326647
701,ebola sierra leone,0.4827973
702,viruses,0.4825722
703,nhs pneumonia,0.48238343
704,salmonella,0.48169804
705,fever medicine,0.481551
706,outbreak movie,0.48149383
707,coronavirus sneezing,0.4812613
708,enterovirus,0.48100045
709,hay fever season uk,0.48075086
710,pathogenesis,0.48051414
711,chronic inflammation,0.480309
712,immune response,0.48017225
713,cure for ebola,0.47999322
714,colon infection,0.47984025
715,defra bird flu map,0.47958788
716,hay fever medicine,0.47943312
717,flu shot side effects,0.47899646
718,severe morning sickness,0.47866467
719,after pneumonia,0.47847027
720,sore throat no fever,0.47831622
721,coughs and colds,0.47819686
722,chesty cough covid,0.4781285
723,sleeping sickness,0.47785887
724,nausea,0.47784343
725,vaccine,0.47759265
726,meningitis outbreak,0.47737622
727,fever headache,0.47681278
728,immune system disorders,0.47674555
729,common cold,0.47665942
730,coughing up,0.47637832
731,new covid symptoms,0.4762122
732,coronavirus holidays,0.47613955
733,smallpox,0.475849
734,had a cold for 3 weeks,0.47567466
735,auto immune diseases,0.475295
736,chills and sore throat,0.47478288
737,viral or bacterial,0.47463575
738,christmas disease,0.47453687
739,salmonella outbreak,0.47444588
740,sneezing covid,0.4742576
741,pandemic 3,0.4739667
742,how long does stomach flu last,0.47361597
743,shivering,0.47266644
744,winter vomiting,0.4726528
745,incubation period for swine flu,0.4726433
746,covid19 symptoms,0.4724573
747,e coli infection,0.47202465
748,viral gastroenteritis,0.47189626
749,fever in child,0.47175527
750,typhoid fever,0.47166723
751,hay fever rash,0.4712633
752,the immune system,0.47125244
753,a bad cough,0.47106314
754,feel unwell,0.4702151
755,double pneumonia,0.47009534
756,pneumonia vaccine,0.46974814
757,vaccinated,0.46966153
758,vomit,0.4688501
759,tick fever,0.46884292
760,immune deficiency,0.46853355
761,coronavirus pneumonia,0.46809083
762,a cough,0.4676764
763,c diff infection,0.4674966
764,winter sickness bug,0.46716136
765,scarlet fever contagious,0.4671565
766,how to stop feeling sick,0.4671138
767,beaver fever,0.4670198
768,low immune system,0.46688306
769,virus symptoms,0.46674967
770,hay fever relief,0.4666242
771,corona virus,0.46637905
772,bronchitis,0.46600306
773,sinus infection contagious,0.46597165
774,headache and feeling sick,0.46569598
775,bronchitis contagious,0.464904
776,gastroenteritis,0.46465564
777,cough and cold,0.46449205
778,chills no fever,0.4641907
779,serum sickness,0.4640836
780,hay fever cure,0.46396026
781,cough after covid,0.4637977
782,fever of 39,0.46348023
783,the common cold,0.4633535
784,arthritis,0.46332407
785,temperature fever,0.46326268
786,bronchial pneumonia,0.463138
787,symptons,0.46310765
788,diarrhea and vomiting,0.46293604
789,coronavirus,0.46270308
790,auto immune disease,0.46256232
791,croup contagious,0.46235383
792,is sick,0.4622135
793,runny nose with covid,0.46219844
794,fever adults,0.46206823
795,hay fever allergy,0.46204257
796,side effects of flu shot,0.46194965
797,when you have a fever,0.46180612
798,microscopic colitis,0.46151954
799,chills without fever,0.46099627
800,current cold virus,0.46091625
801,chronic cough,0.46049803
802,vomitting bug,0.4603645
803,swine flu incubation period,0.46010748
804,antiinflammatory,0.46005246
805,child with fever,0.4600364
806,why do i feel sick,0.4599915
807,dry cough covid,0.45953685
808,throat cough,0.45896566
809,fluoxetine,0.45894217
810,winter vomiting disease,0.45879555
811,fever pregnancy,0.45872867
812,severe cough,0.458651
813,fever symptoms,0.45862925
814,runny nose and cough,0.4581717
815,fever children,0.4581362
816,nauseas,0.45810872
817,fever treatment,0.4580285
818,exacerbation,0.45780706
819,fever symptom,0.4577777
820,upper respiratory infection,0.45772466
821,mucus cough,0.45734605
822,get rid of fever,0.45698965
823,fever and pregnancy,0.4568869
824,vomiting diarrhea,0.45670378
825,bacterial diseases,0.45648977
826,cough and headache,0.45614177
827,start of a cold,0.45604202
828,fever blister,0.45602268
829,runny nose and sneezing,0.45596114
830,infection symptoms,0.45571578
831,hospitalized,0.45561704
832,ebola in sierra leone,0.45553982
833,swine flu vaccine side effects,0.45541495
834,covid symptoms 2023,0.45539957
835,is pneumonia,0.45533228
836,what is hay fever,0.4551782
837,vomiting bug,0.45404613
838,hay fever medication,0.45399946
839,african disease,0.4539234
840,cotton fever,0.45386368
841,how to get rid of sickness,0.453837
842,winter viruses,0.45338798
843,dengue fever,0.45312926
844,fever while pregnant,0.45299566
845,aids,0.45295304
846,constantly coughing,0.4528435
847,viral rash,0.4520862
848,viral meningitis contagious,0.4520371
849,norovirus,0.45177355
850,lymph,0.4516384
851,infection control,0.45148456
852,chronic nausea,0.4514804
853,covid 19 symptoms,0.4510402
854,fever in adults,0.45078415
855,auto immune disorders,0.4506972
856,zombie outbreak,0.45063528
857,fever tablets,0.45041847
858,viral bronchitis,0.45040697
859,bacterial infection,0.45032454
860,crohns,0.45008254
861,i have a fever,0.44976556
862,vaccine a,0.4494796
863,diabetes,0.4494609
864,cholera symptoms,0.44943237
865,sinusitis contagious,0.44942874
866,covid headache,0.44933823
867,vaccination,0.44932842
868,medical symptons,0.44929647
869,fever in children,0.4490586
870,nhs scarlet fever,0.44875127
871,rocky mountain fever,0.4484156
872,covid runny nose,0.44835192
873,can you take cold and flu when pregnant,0.4476869
874,meningitis contagious,0.44764262
875,hay fever sore throat,0.44736087
876,cough and sore throat,0.4473528
877,chicken pox virus,0.44722903
878,nausea and vomiting,0.4471829
879,starve a fever,0.44695833
880,what is ebola,0.4468803
881,hay fever tablets,0.44685233
882,travel sickness,0.44683206
883,book covid vaccine,0.44634795
884,38 degrees fever,0.44601077
885,diagnosed,0.44577542
886,hepatitis,0.44539186
887,norovirus outbreak,0.44535005
888,chicken diseases,0.4452393
889,sneezing covid symptom,0.44514996
890,having diarrhea,0.44513234
891,ill health,0.44512153
892,cirrhosis,0.44504273
893,fever sore throat,0.44502866
894,sick bug,0.44496378
895,chills coronavirus,0.44486693
896,yahoo health,0.44483173
897,vaccine news,0.44470602
898,38 degree fever,0.44468513
899,fever eyes,0.44468445
900,norovirus contagious,0.44438463
901,throat infection,0.44431603
902,stomach infection,0.44429326
903,communicable diseases,0.44420534
904,how did ebola start,0.4440873
905,is pneumonia contagious,0.44375953
906,nhs covid vaccine,0.44369856
907,asthma,0.4434129
908,fever blisters,0.44325775
909,auto immune deficiency,0.44313174
910,unwell women,0.4428386
911,meningitis,0.44262004
912,have a cold,0.4422574
913,40 degree fever,0.4417328
914,tickly cough covid,0.44143492
915,stop a cold,0.44139802
916,ssris,0.44136018
917,cough covid,0.44129008
918,hay fever pregnancy,0.44123286
919,the norovirus,0.4410408
920,diseases in africa,0.44082028
921,mild pneumonia,0.44047165
922,disease in africa,0.44038814
