,Query,Cosine Similarity
143,flu symptoms child,0.60230386
144,signs of the flu,0.60219073
145,swin flu,0.6018183
146,influenza b,0.6018112
147,vaccine pregnancy,0.60166806
148,get rid of flu,0.60163
149,the flu symptoms,0.60088277
150,flu camp,0.60087174
151,spanish flu pandemic,0.6004938
152,cold flu or covid,0.6003703
153,flu relief,0.60034645
154,flu like,0.60026246
155,flu medicine,0.5976934
156,google flu trends,0.5976268
157,pregnant with a cold,0.5969912
158,pig flu,0.59655774
159,flu symptoms,0.59634805
160,flu jab,0.5958463
161,flu immunisation,0.5953238
162,flu death,0.5951483
163,avian flu,0.59485364
164,pregnant women coronavirus,0.59468126
165,aussie flu nhs,0.5932869
166,flu pain,0.5931337
167,flu meme,0.5931023
168,baby fever,0.5926827
169,stomach flu nhs,0.59162784
170,scarlet fever pregnancy,0.5898937
171,flu deaths,0.589782
172,swine influenza,0.58941495
173,swine flu outbreak,0.58875024
174,do i have flu,0.5885979
175,infant fever,0.5884799
176,la influenza,0.5884204
177,flu symptom,0.58837515
178,swine flu news,0.5881245
179,flu treatment,0.5878265
180,flu or cold or covid,0.5877669
181,flu and cough,0.58762956
182,child flu vaccine,0.5868256
183,influenza a,0.58678186
184,flu game,0.586258
185,hong kong flu,0.58594006
186,swine flu uk,0.5852315
187,get flu jab,0.5849989
188,flu injection,0.58499384
189,flu symptoms uk,0.5843177
190,norovirus in pregnancy,0.5838899
191,norovirus pregnancy,0.58386576
192,i have flu,0.5832767
193,flu symptoms nhs,0.58216524
194,swine flu virus,0.5816878
195,h1n1 flu,0.5811789
196,swine flu pandemic,0.58070743
197,flu vaccination,0.5804769
198,flu contagious period,0.5801075
199,stages of flu,0.5800206
200,australian flu nhs,0.57995933
201,flu jab child,0.57988966
202,dog flu,0.579883
203,what is influenza,0.5791389
204,flu remedy,0.5786989
205,influenza vaccine,0.5783482
206,symptoms of flu,0.57777137
207,flu tablets,0.577701
208,norovirus and pregnancy,0.57768023
209,flu jab 2018,0.5775647
210,headache pregnancy,0.5773392
211,flu incubation period,0.5772776
212,do i have the flu,0.5770478
213,spanish flu epidemic,0.5766818
214,have i got flu,0.5765371
215,scarlet fever in pregnancy,0.5762651
216,flu shot,0.57616097
217,flu duration,0.5757816
218,best thing for flu,0.5754864
219,symptoms of the flu,0.5744085
220,flu recovery,0.57440025
221,flu symptoms 2017,0.574371
222,freshers flu,0.5740745
223,pregnancy symtoms,0.5730795
224,food for flu,0.57286835
225,flu symptoms 2018,0.5718943
226,flu deaths 2019,0.5715184
227,symptom of flu,0.5714723
228,flu jab 2021,0.5710325
229,cure for flu,0.5708167
230,scarlet fever and pregnancy,0.5706707
231,flu headache,0.5702219
232,baby being sick,0.5695482
233,flu jab 2017,0.56950766
234,flu jab 2016,0.569288
235,the flu jab,0.56877035
236,pregnancy symptons,0.5674928
237,the flu vaccine,0.5672621
238,flu vaccine 2019,0.566033
239,influenza symptoms,0.5657004
240,avian influenza,0.5656538
241,sickness virus,0.5652221
242,influenza b virus,0.564002
243,flu aches,0.56325996
244,about swine flu,0.562823
245,cough during pregnancy,0.56226915
246,flu like symptoms,0.5620733
247,swine flu 2016,0.5617784
248,pregnancy complications,0.56073713
249,flu symptom checker,0.56034255
250,swine flu nhs,0.5599257
251,flu symptoms 2016,0.55990505
252,is flu contagious,0.55940044
253,flu and pneumonia,0.55925393
254,incubation period for flu,0.5589922
255,flu vaccine uk,0.5589093
256,can you take cold and flu medicine while pregnant,0.5585898
257,after the flu,0.558517
258,cough when pregnant,0.5584086
259,nhs direct flu,0.55793154
260,pregnancy labor,0.55791086
261,flu jab asda,0.5574529
262,flu spray,0.5572127
263,flu in adults,0.5571876
264,swine flu latest,0.55677396
265,flu jab 2020,0.55672187
266,swine flu cases,0.5565828
267,flu temperature,0.5564584
268,child flu spray,0.5564307
269,gastric flu,0.5559526
270,flu jab uk,0.5554857
271,unwanted pregnancy,0.55535936
272,flu symptoms in children,0.555058
273,seasonal flu vaccine,0.5548409
274,when is flu season,0.55427253
275,cold and flu,0.5541448
276,recover from flu,0.55318785
277,swine flu update,0.55307305
278,flu vaccinations,0.55241406
279,private flu jab,0.552179
280,pregnant pain,0.55138034
281,flu injections,0.55113316
282,best flu medicine,0.5510205
283,headache in pregnancy,0.550112
284,medicine for flu,0.5500628
285,flu medicine uk,0.5500297
286,bird flu virus,0.54943347
287,flu vaccine for child,0.5490904
288,is the flu contagious,0.54902995
289,swine flu cdc,0.54880494
290,booking flu jab,0.54856324
291,flu vaccine nhs,0.5482961
292,symtoms of pregnancy,0.54709846
293,influenza vaccination,0.5466932
294,what are the symptoms of the flu,0.5465795
295,tattoo flu,0.54617846
296,flu deaths 2020,0.5459099
297,pregnant symptoms,0.5450865
298,pregnancy swelling,0.54490256
299,flu last,0.5446967
300,pregnant nhs,0.54383755
301,flu antibiotics,0.54363286
302,bird flu uk,0.5430712
303,swine flu epidemic,0.5427661
304,influenza type a,0.5425771
305,what are flu symptoms,0.54256624
306,influenza treatment,0.5423836
307,flu after flu jab,0.5418718
308,flu mask,0.54177
309,free flu jab,0.5415338
310,pregnancy nhs,0.5413229
311,coronavirus cold or flu,0.54130447
312,sainsburys flu jab,0.54111356
313,flu virus symptoms,0.5405433
314,swine flu spread,0.5403712
315,sneezing pregnancy,0.5401998
316,what are the symptoms of flu,0.53995705
317,how to prevent flu,0.53966135
318,flu remedies,0.53935254
319,free flu vaccine,0.53912246
320,after effects of flu,0.53851366
321,free flu jabs,0.5383382
322,hayfever when pregnant,0.5383307
323,best cure for flu,0.5381374
324,pregnancy symptoms,0.5379381
325,recovering from flu,0.53727424
326,is it flu or cold,0.5372629
327,flu deaths uk,0.53697014
328,rash during pregnancy,0.5365056
329,cold or flu,0.5364658
330,h1n1 influenza,0.5356763
331,flu vaccine 2018,0.5353189
332,australian flu symptoms nhs,0.53530335
333,what is the swine flu,0.5350226
334,avian flu latest,0.534106
335,man flu meme,0.5339911
336,flu vaccine 2017,0.53355
337,australian flu symptoms,0.5335094
338,flu game 12,0.5334723
339,flu vaccine children,0.5328084
340,stomach flu symptoms,0.5318831
341,antibiotics and pregnancy,0.5318223
342,h3n8 bird flu,0.531607
343,flu jab nhs,0.5314987
344,free flu shots,0.5303159
345,book a flu jab,0.53007317
346,book flu jab,0.52995086
347,sore throat pregnant,0.5298979
348,winter flu jab,0.52966714
349,aussie flu symptoms 2017,0.5286083
350,cold while pregnant,0.5285078
351,pains during pregnancy,0.52801347
352,flu jab for child,0.52791893
353,uk flu deaths 2019,0.5278846
354,avian bird flu,0.5276276
355,symptoms of influenza,0.5263748
356,china bird flu,0.5262
357,flu vaccine 2016,0.5251017
358,flu vs coronavirus,0.52490807
359,symptoms of stomach flu,0.52459794
360,the flu shot,0.5243891
361,pregnancy fatigue,0.5241343
362,flu symptoms 2022,0.5240844
363,bird flu pandemic,0.5239283
364,i have the flu,0.52389616
365,antivirals for flu,0.52383816
366,flu or cold test,0.5233997
367,antiviral for flu,0.5220714
368,symptoms of pregnancy,0.5219392
369,what is man flu,0.5212785
370,best medicine for flu,0.520882
371,aussie flu symptoms,0.520833
372,flu vaccine 2017 uk,0.52048564
373,early pregnancy,0.5203857
374,during pregnancy,0.520239
375,flu vaccine 2018 uk,0.52020013
376,flu vaccine 2020,0.52001625
377,colds and flu,0.5198541
378,what medicine for flu,0.51977104
379,flu jab near me,0.5196372
380,severe morning sickness,0.5194784
381,aussie flu symptoms nhs,0.5190642
382,gestational,0.51899517
383,nasal flu vaccine,0.5187914
384,best flu medicine uk,0.51861084
385,flu sore throat,0.51846075
386,flu vaccine for children,0.51838213
387,uti and pregnancy,0.51802456
388,swine flu jab,0.5177174
389,mucus plug pregnancy,0.5172119
390,symptoms of australian flu,0.517117
391,swine flu symtoms,0.5170125
392,flu map,0.51698357
393,book flu vaccine,0.51693255
394,bird flu wales,0.51691115
395,spanish flu symptoms,0.51662403
396,flu side effects,0.51598424
397,best flu remedies,0.5155595
398,recovery from flu,0.515334
399,flu deaths 2020 uk,0.51518476
400,flu jab reactions,0.5149478
401,pregnancy period,0.51482314
402,headaches while pregnant,0.5145441
403,swine flu vaccine,0.5138149
404,pregnancy uk,0.5131461
405,cold in pregnancy,0.5129353
406,what is swine flu,0.5127842
407,flu remedies uk,0.5125938
408,pregnancy discharge,0.5124725
409,pharmacy flu jab,0.5123359
410,hay fever,0.5115052
411,swine flu facts,0.51121116
412,what is the flu vaccine,0.511027
413,i have a flu,0.5102802
414,best way to get rid of flu,0.5094112
415,medication for flu,0.5093019
416,side effects of flu,0.5088828
417,do i have flu or cold,0.5086689
418,cold vs flu,0.50847983
419,fever virus,0.5081878
420,cold or flu nhs,0.5081811
421,child nasal flu vaccine,0.5078432
422,child fever,0.5076709
423,baby diarrhea,0.50744104
424,lloyds flu jab,0.5072352
425,how to cure flu,0.50709635
426,pregnant with period,0.5070169
427,beechams flu plus,0.5069463
428,cough after flu,0.50689965
429,hay fever in babies,0.5067622
430,when is flu contagious,0.506356
431,symptoms of aussie flu,0.5063009
432,wine flu,0.5062647
433,is the flu jab safe,0.5059819
434,fever in babies,0.5052919
435,signs of swine flu,0.50454104
436,sex during pregnancy,0.5042151
437,should i have the flu jab,0.5040723
438,coronavirus or flu or cold,0.5039382
439,reaction to flu jab,0.5034459
440,fever contagious,0.50337553
441,safe during pregnancy,0.5031111
442,tesco flu jab,0.5029045
443,sneezing when pregnant,0.50280356
444,live flu vaccine,0.5027818
445,sickness bug,0.502743
446,flu jab for children,0.5024284
447,pregnancy foods,0.50218636
448,cold when pregnant,0.5019327
449,period during pregnancy,0.501716
450,how did spanish flu end,0.50079536
451,cold during pregnancy,0.5001913
452,man flu video,0.5000173
453,stomach pains during pregnancy,0.49997133
454,how to cure the flu,0.49932528
455,outbreak,0.49916473
456,how to get rid of flu,0.49842823
457,swelling during pregnancy,0.49827477
458,fever,0.49801397
459,flu b symptoms,0.49760246
460,how to get rid of the flu,0.49755585
461,do i have a cold or flu,0.4975227
462,what is influenza b,0.49736965
463,treatment for flu,0.49665886
464,flu vaccine ingredients,0.4956188
465,symptoms swine flu,0.4950369
466,toddler fever,0.4948216
467,baby vomiting,0.49437696
468,lemsip cold and flu,0.49412847
469,flu nasal spray,0.49364138
470,illnesses,0.49348634
471,sign of pregnancy,0.49308774
472,swine flu symptons,0.4925425
473,dizziness and pregnancy,0.49214947
474,how to treat flu,0.49199432
475,antiviral drugs for flu,0.49196592
476,sick virus,0.49191788
477,hpv and pregnancy,0.49183553
478,how long flu,0.49158347
479,how to get rid of a flu,0.49086493
480,smallpox virus,0.49067807
481,how to treat the flu,0.4906339
482,swine flu game,0.4903051
483,swine flu treatment,0.49017686
484,pregnant feeling,0.49012324
485,gestational diabetes,0.49008936
486,vomiting virus,0.49003267
487,what to take for flu,0.49000108
488,swine flu vaccination,0.48962224
489,virus ebola,0.4894465
490,natural flu remedies,0.48915476
491,ebola outbreak,0.48875493
492,fatigue in pregnancy,0.48810625
493,flu vaccine near me,0.4878257
494,sickness,0.48728925
495,best remedies for flu,0.48720813
496,lupus and pregnancy,0.48681903
497,remedies for flu,0.48650226
498,virus outbreak,0.48592612
499,uti pregnancy,0.48578006
500,cold flu medicine,0.48554593
501,pain during pregnancy,0.48534724
502,high risk pregnancy,0.48525688
503,symtoms of swine flu,0.48515028
504,flu home remedies,0.48513445
505,in pregnancy,0.48510653
506,antibiotics for flu,0.4848581
507,baby colic,0.48431116
508,pregnancy acne,0.48400787
509,how to get over flu,0.48335055
510,flu symptoms in adults,0.48323497
511,flu shot reactions,0.483212
512,flu vaccine pharmacy,0.4829863
513,flu jab vaccine,0.48285052
514,pregnancy diet,0.48234951
515,flu symptoms last,0.48194084
516,flu jab symptoms,0.48093176
517,bird flue,0.48044425
518,boots flu,0.48025185
519,herpes and pregnancy,0.47989684
520,sickness diarrhea,0.47960216
521,shingles and pregnancy,0.47944415
522,how to recover from flu,0.47942886
523,infant diarrhea,0.47887674
524,how to get over the flu,0.4786221
525,effects of swine flu,0.47847503
526,fever and vomiting,0.4782241
527,influenza b symptoms,0.47790265
528,swine flu symptoms checker,0.47759983
529,baby coughing,0.47722644
530,ebola disease,0.47666773
531,swine flu antiviral,0.4766642
532,unwell women,0.47628874
533,molar pregnancy,0.47607237
534,superdrug flu jab,0.4757952
535,can humans get bird flu,0.4752016
536,bird flu 2023,0.47474408
537,pregnancy nutrition,0.47472042
538,symptoms of the swine flu,0.47376746
539,effects of flu jab,0.47242445
540,strep b in pregnancy,0.4722188
541,incubation period for swine flu,0.4719255
542,tesco pharmacy flu jab,0.47149962
543,diarrhea before labor,0.47126955
544,stomach virus,0.4712243
545,ebola,0.47053874
546,ebola epidemic,0.46965337
547,swine flu incubation period,0.46956375
548,severe hay fever,0.4691178
549,hay fever cough,0.46859342
550,infant cough,0.46804342
551,nurofen cold and flu,0.46799472
552,e coli outbreak,0.4677778
553,winter vomiting virus,0.46768737
554,baby with a cold,0.46759695
555,full term pregnancy,0.46751782
556,flu jab with a cold,0.46672764
557,sickness bugs,0.46662557
558,pregnant belly,0.46636423
559,signs of pregnancy,0.46560436
560,green book influenza,0.4655226
561,infant vomiting,0.4654447
562,lloyds pharmacy flu jab,0.46524984
563,cholera,0.4649759
564,swine flu death,0.4641498
565,natural remedies for flu,0.46391222
566,emerging infectious diseases,0.463454
567,ibuprofen pregnancy,0.463359
568,how many people die from flu,0.4630059
569,swine flu deaths,0.46295148
570,where can i get flu jab,0.46262938
571,illness,0.46204516
572,cervical mucus early pregnancy,0.46136498
573,contagious diseases,0.46078077
574,home remedies for flu,0.46061563
575,antihistamine when pregnant,0.46059427
576,fever in child,0.46006957
577,hay fever season,0.46004736
578,pregnancy test,0.45996058
579,news ebola,0.45990485
580,cough and fever,0.45978934
581,cold or flu quiz,0.45912355
582,cervical mucus during pregnancy,0.45902845
583,flue,0.4588108
584,itching during pregnancy,0.45856363
585,ebola virus disease,0.45763266
586,for pregnancy,0.45733064
587,infection,0.45729214
588,preeclampsia in pregnancy,0.4570713
589,symptoms of swine flu,0.4570242
590,hay fever uk,0.4568606
591,how to get rid of flu fast,0.45664734
592,stomach pain during pregnancy,0.45624897
593,bath when pregnant,0.4559641
594,clinical infectious diseases,0.45558527
595,paracetamol pregnancy,0.4555016
596,pregnancy pillow,0.45510045
597,bird flu 2022,0.45473644
598,infected,0.45453766
599,swine flu map,0.45400065
600,sickness and,0.4537963
601,hayfever tablets when pregnant,0.45340997
602,cold or flu symptoms,0.45333475
603,flu recovery time,0.45298642
604,infectious diseases,0.4529387
605,infectious disease,0.45232612
606,earliest pregnancy symptoms,0.45193785
607,a pregnancy test,0.45186606
608,24 hour sickness bug,0.45144147
609,healthy pregnancy diet,0.45132822
610,yellow discharge during pregnancy,0.45117027
611,childbirth,0.45110062
612,h1n1 flu symptoms,0.45088863
613,flu vaccine child side effects,0.4508836
614,high fever,0.45082706
615,bird flu vaccine,0.45071673
616,hay fever or cold,0.4507072
617,salmonella outbreak,0.45063066
618,baby with cough,0.45025265
619,fevers,0.44995627
620,maternity alliance,0.44988748
621,earliest symptoms of pregnancy,0.44987804
622,period pain during pregnancy,0.44960636
623,difference between a cold and flu,0.4494817
624,scans during pregnancy,0.44946817
625,nutrition during pregnancy,0.44940573
626,cough fever,0.44862226
627,cramps during pregnancy,0.44862008
628,red rash on baby,0.44848463
629,viral cough,0.448437
630,flu how long does it last,0.44807133
631,stop sickness,0.4478581
632,colic babies,0.4474827
633,fever in infants,0.4474318
634,the ebola outbreak,0.44718716
635,paracetamol when pregnant,0.4471771
636,have fever,0.4471707
637,drinking while pregnant,0.44715643
638,paracetamol pregnant,0.44708902
639,implanon pregnancy,0.446917
640,cervical mucus in early pregnancy,0.4468203
641,virus,0.44660065
642,virus going around,0.4462629
643,boots flu jabs,0.44618878
644,flu vaccine side effects,0.44618672
645,cervix during pregnancy,0.4461354
646,what to eat when you have the flu,0.4460857
647,cholera disease,0.44598675
648,colic in babies,0.44594842
649,ebola crisis,0.44542503
650,diarrhea and sickness,0.44529718
651,epidemic pandemic,0.44521794
652,swine flu symptoms in children,0.44496822
653,fever in toddler,0.44484293
654,in early pregnancy,0.44466844
655,coughing and vomiting,0.4445054
656,boots cold and flu,0.4440251
657,toddler high fever,0.44386393
658,infections,0.44375736
659,flu jab side effects 2018,0.44369385
660,should i get a flu shot,0.44346946
661,yellow fever,0.44290772
662,ebola spread,0.44279724
663,bird flu symptoms,0.4426772
664,bird flu restrictions,0.44257402
665,jobs for pregnant women,0.44247365
666,distributing vaccines and treatments for covid-19 and flu,0.44179887
667,hay fever season uk,0.44132853
668,cough virus,0.44124
669,infant rash,0.44083565
670,camembert when pregnant,0.44080198
671,boots flu vaccine,0.44047558
672,pathogenesis,0.44037873
673,24 hour sickness,0.44025058
674,flu vaccination side effects,0.44008204
675,fever series,0.44007826
676,sex after pregnancy,0.4394552
677,how long is the flu contagious,0.43937954
678,enterovirus,0.43903318
679,virus disease,0.43850207
680,after pregnancy,0.4380216
681,take a pregnancy test,0.43767598
682,brown discharge pregnancy,0.43732587
683,bleeding while pregnant,0.4369096
684,prenatal care,0.43682116
685,swine flue symptoms,0.43647596
686,cheerleader flu shot,0.4362869
687,swine fever,0.4361319
688,a fever,0.4359646
689,can pregnant women eat,0.43521428
690,flu jab cost,0.4345609
691,airborne virus,0.43455768
692,lassa fever,0.43447185
693,lemsip when pregnant,0.43423244
694,baby fever temperature,0.4338281
695,my baby has a cold,0.433491
696,discharge during pregnancy,0.43346447
697,gestational carrier,0.43342462
698,obstetric,0.4329828
699,morning sickness relief,0.43290132
700,viruses,0.43281928
701,hay fever rash,0.43251672
702,early pregnancy unit,0.43214124
703,the ebola virus,0.4319548
704,viral cold,0.43141994
705,pregnancy week by week,0.4312605
706,viral infection,0.43035418
707,what are the symptoms of swine flu,0.4299196
708,newborn rash,0.42981833
709,cramping during pregnancy,0.42950743
710,smallpox,0.42950118
711,fever in toddlers,0.42921126
712,viral infections,0.42917165
713,ibuprofen when pregnant,0.42914325
714,child with fever,0.42897916
715,how long are you contagious with the flu,0.42880037
716,c diff infection,0.42874852
717,ebola vaccine,0.42866904
718,lemsip max cold and flu,0.42857832
719,norovirus in babies,0.42808664
720,morning sickness cures,0.42784294
721,ebola uk,0.42690754
722,brown discharge during pregnancy,0.42657313
723,boots flu jab,0.42653146
724,africa ebola,0.42636487
725,smoking during pregnancy,0.42623574
726,vomiting,0.42574742
727,what causes morning sickness,0.42524543
728,get sick,0.42504188
729,lemsip pregnancy,0.42491835
730,cheese when pregnant,0.42485607
731,sign of early pregnancy,0.42474318
732,rabbit fever,0.4246853
733,benylin 4 flu tablets,0.42457336
734,covid19 vaccine,0.4241935
735,cold and flu symptoms,0.424183
736,virus going around uk,0.4241591
737,preterm labor,0.42381224
738,pandemic,0.42379254
739,covid 19 cough,0.42363
740,metformin and pregnancy,0.4233751
741,viral pneumonia,0.4224106
742,smoking and pregnancy,0.42229766
743,cold virus,0.42217422
744,how long is flu contagious,0.42208064
745,how long did the spanish flu last,0.42180422
746,baby rash,0.42164385
747,cramps during early pregnancy,0.42156515
748,what to eat when pregnant,0.42138267
749,flu injection side effects,0.4211272
750,nora virus,0.4210312
751,early signs of pregnancy,0.4203998
752,human viruses,0.42036647
753,baby yeast infection,0.42036527
754,viral gastroenteritis,0.42027837
755,baby sick,0.4200301
756,fever cause,0.41984844
757,boots flu jab 2020,0.41983485
758,salmonella,0.4197982
759,side effects of flu vaccine,0.41929692
760,cold and flu relief,0.41912252
761,vaginal pain during pregnancy,0.41911864
762,flu jab side effects,0.41905943
763,first response pregnancy test,0.41899067
764,bleeding during pregnancy,0.4187836
765,covid 19 vaccine,0.41841945
766,gastric flu symptoms,0.41820782
767,anemia in pregnancy,0.4181379
768,obese and pregnant,0.41793662
769,cold and flu tablets,0.41757262
770,pregnancy induced hypertension,0.41730785
771,white discharge during pregnancy,0.41728115
772,coronavirus fever,0.4169091
773,how many people die of flu each year uk,0.41649127
774,fever in children,0.4161174
775,croup contagious,0.41563863
776,difference between cold and flu,0.4155169
777,e coli infection,0.41531804
778,pneumonia in babies,0.415121
779,michael jordan flu game,0.41510624
780,covid vaccine,0.41505146
781,vaccine news,0.415047
782,covid 19,0.4150077
783,obstetrics,0.41495353
784,anime fever,0.41491795
785,bird flu map,0.41475132
786,be sick,0.41443965
787,fibroids and pregnancy,0.4142233
788,what is hay fever,0.41408545
789,baby has a cold,0.4139353
790,balanced flue,0.41331798
791,mono virus,0.41324255
792,whooping cough,0.4131811
793,newborn cold,0.41312265
794,anemia during pregnancy,0.41300225
795,breastfeeding while pregnant,0.41293097
796,meningitis outbreak,0.41291976
797,baby rashes,0.4122066
798,hay fever injection,0.41209695
799,pregnancy hormone levels,0.4120482
800,lemsip pregnant,0.41200185
801,scarlet fever in babies,0.41183794
802,lemsip cold and flu capsules,0.41183713
803,cold fever,0.4118021
804,pregnancy symptoms before missed period,0.41162223
805,fever nhs,0.4113531
806,fever children,0.41135204
807,cmv infection,0.4111994
808,anti sickness,0.41098386
809,alcohol and pregnancy,0.4109328
810,unwell,0.41068375
811,early pregnancy symptoms before missed period,0.4106139
812,cold and flu medicine,0.41036314
813,chicken pox virus,0.40999007
814,ebola symptoms,0.4096413
815,vomit bug,0.40961596
816,foods to avoid while pregnant,0.40954432
817,viral meningitis contagious,0.40950263
818,pandemic and epidemic,0.40924016
819,acne and pregnancy,0.4091565
820,endometriosis and pregnancy,0.40890634
821,how long did spanish flu last,0.4088676
822,back pain during pregnancy,0.40886718
823,how long does the flu last,0.408724
824,diarrhea and vomiting,0.40845364
825,weight gain during pregnancy,0.40822068
826,pelvic pain during pregnancy,0.40814984
827,colon infection,0.4079619
828,can you take paracetamol pregnant,0.407605
829,baby has a cough,0.4075607
830,how long does flu last,0.40743247
831,baby hayfever medicine,0.40727246
832,hay fever medicine,0.40719363
833,fever rash,0.40703654
834,discharge during early pregnancy,0.4069333
835,diarrhea,0.40675884
836,sore throat and fever,0.40625924
837,fever sore,0.40613467
838,pneumonia,0.40591615
839,foods to avoid when pregnant,0.4058309
840,what not to eat during pregnancy,0.40578586
841,thalidomide babies,0.40571994
842,have a fever,0.40559375
843,ebola cases,0.405101
844,fever injection,0.40506488
845,feeling sick,0.40504566
846,side effects of flu jab,0.40498376
847,christmas disease,0.40464255
848,pregnancy contractions,0.40456343
849,respiratory infection,0.40409762
850,norovirus contagious,0.40405536
851,winter sickness bug,0.40401524
852,vomiting diarrhea,0.40379316
853,sore throat and covid,0.4037305
854,uterine infection,0.40358967
855,what not to eat while pregnant,0.40358207
856,side effects of the flu jab,0.4035219
857,cold flu symptoms,0.40298122
858,can you take paracetamol when pregnant,0.40290102
859,low grade fever,0.40253493
860,sleeping sickness,0.4024263
861,baby allergies,0.40241003
862,pneumonia contagious,0.40230355
863,how long can flu last,0.40213615
864,norovirus outbreak,0.40192458
865,cmv virus,0.40146834
866,what to eat while pregnant,0.4006555
867,ebola in,0.40038002
868,coughing,0.40031207
869,heartburn during pregnancy,0.40014446
870,bloody diarrhea,0.39957547
871,covid and runny nose,0.39912307
872,viral diseases,0.39910606
873,swine flu symptoms in adults,0.39900124
874,plague,0.39885455
875,cold and fever,0.39779305
876,systemic infection,0.39778298
877,gestational diabetes symptoms,0.3976742
878,zombie outbreak,0.3975376
879,ebola latest,0.39744923
880,mumps virus,0.39743066
881,coronavirus cough,0.3973325
882,norovirus news,0.3972146
883,foods to eat while pregnant,0.39656997
884,early chicken pox,0.39627782
885,can you have lemsip when pregnant,0.39616418
886,new viruses,0.39585304
