,Query,Cosine Similarity
296,how to prevent flu,0.58291364
297,tummy flu,0.5829096
298,when is flu contagious,0.58282465
299,flu camp,0.5827092
300,i have a flu,0.58196414
301,book a flu jab,0.58151484
302,spanish flu,0.58144677
303,flu deaths uk,0.58110136
304,flu or cold test,0.5807762
305,medical symptoms,0.5800319
306,asian flu,0.58000976
307,flu or cold or covid,0.5798342
308,symptoms of pneumonia,0.5794896
309,symptoms of colitis,0.5793766
310,symptoms of arthritis,0.5792988
311,symptom of hay fever,0.57927084
312,flu jab 2017,0.57852066
313,flu spray,0.5783509
314,hay fever symptom,0.5775463
315,how to cure flu,0.5775312
316,e coli symptoms,0.57665867
317,how to cure the flu,0.575716
318,flu jab with a cold,0.57484305
319,baby flu,0.57441115
320,spanish flu pandemic,0.57435215
321,flu jab 2018,0.57422066
322,covid 19 symptoms,0.57374495
323,symptoms list,0.57258743
324,bacterial infection symptoms,0.57257545
325,stomach flu contagious,0.57194245
326,avian flu,0.5718993
327,the flu jab,0.5718761
328,flu jab 2021,0.5708948
329,what to eat when you have the flu,0.5708771
330,what medicine for flu,0.57040876
331,medication for flu,0.5692191
332,flu remedies uk,0.5687721
333,yellow fever symptoms,0.56867886
334,symptoms of cold,0.5683808
335,flu jab 2020,0.5683243
336,symptom of fever,0.5680493
337,flu jab 2016,0.5677651
338,flu vaccination,0.56759536
339,australian flu nhs,0.5666622
340,what are symptoms,0.5665271
341,symptoms scarlet fever,0.56635606
342,feeling sick,0.56628597
343,rheumatic fever symptoms,0.56562257
344,fever symptom,0.56527483
345,flu jab asda,0.56526434
346,dog flu,0.56483275
347,about swine flu,0.56442297
348,flu nasal spray,0.5633342
349,how to get rid of flu fast,0.5633099
350,what are the symptoms of,0.56290096
351,avian influenza,0.5628542
352,what are symptoms of,0.56113726
353,flu mask,0.5609838
354,how many people die from flu,0.5601691
355,cold flu or covid,0.5600742
356,swine flu vaccine side effects,0.55970997
357,influenza b,0.5592965
358,signs of infection,0.55918723
359,free flu jab,0.5588907
360,covid cold symptoms,0.5583396
361,covid19 symptoms,0.5582595
362,flu game 12,0.55797505
363,bird flu,0.55769145
364,swine flu,0.5573541
365,symptoms for,0.5573177
366,signs and symptoms,0.5562271
367,how long are you contagious with the flu,0.55597836
368,spanish flu epidemic,0.5559093
369,cold symptoms,0.55473334
370,swine flu facts,0.5546001
371,spanish influenza,0.55454576
372,feel sick,0.55441564
373,flu jab child,0.55348974
374,antivirals for flu,0.5534692
375,google flu trends,0.5528337
376,natural remedies for flu,0.5527699
377,signs of pneumonia,0.55275124
378,flu injections,0.55265015
379,check symptoms,0.5524434
380,free flu jabs,0.55221367
381,free flu shots,0.5517455
382,signs and symptoms of pneumonia,0.5516521
383,swine influenza,0.55123967
384,influenza treatment,0.5507574
385,la influenza,0.55033755
386,how long is the flu contagious,0.55032504
387,what is man flu,0.55023766
388,antibiotics for flu,0.5499353
389,lemsip cold and flu,0.54924923
390,bug symptoms,0.54854655
391,upper respiratory infection symptoms,0.54723054
392,flu vs coronavirus,0.5472288
393,flu or coronavirus,0.54621184
394,swine flu pandemic,0.5455595
395,boots cold and flu,0.5454257
396,flu jab pregnancy,0.54460514
397,the flu vaccine,0.54379416
398,should i have the flu jab,0.54367185
399,common cold symptoms,0.5431206
400,symptoms of covid,0.5428203
401,nurofen cold and flu,0.5426706
402,salmonella symptoms,0.5424265
403,flu deaths 2020 uk,0.54195535
404,flu jab pregnant,0.5419079
405,symptoms of e coli,0.541665
406,coronavirus cold or flu,0.541661
407,symptoms of scarlet fever,0.54164
408,what is the symptoms,0.5412967
409,symptoms diagnosis,0.54123944
410,antiviral for flu,0.54093456
411,bronchitis symptoms,0.54089487
412,what are the symptoms of pneumonia,0.540315
413,man flu video,0.5400215
414,is the flu jab safe,0.54000586
415,free flu vaccine,0.5392142
416,covid cough symptoms,0.5391512
417,gum disease symptoms,0.53909063
418,should i get a flu shot,0.5377293
419,winter flu jab,0.5376824
420,flu jab cost,0.53763
421,new covid symptoms,0.53706247
422,symptoms of salmonella,0.53639996
423,flu vaccine children,0.5356895
424,how long is flu contagious,0.5356808
425,natural flu remedies,0.53543395
426,the swine flu,0.53486514
427,antiviral drugs for flu,0.5343683
428,symptoms of bronchitis,0.5343214
429,influenza b virus,0.53398955
430,chills symptoms,0.53380716
431,influenza vaccine,0.53331935
432,flu vaccine 2019,0.53292155
433,autoimmune disease symptoms,0.53255403
434,flu vaccine pregnancy,0.53243196
435,what are the symptoms,0.53227246
436,cold flu medicine,0.53211516
437,sick dog symptoms,0.53184986
438,rheumatoid arthritis symptoms,0.5312822
439,inflammatory bowel disease symptoms,0.53095675
440,h1n1 flu,0.5307578
441,signs of arthritis,0.53063947
442,symptoms of rheumatoid arthritis,0.53045106
443,signs and symptoms of,0.5301552
444,flu jab uk,0.52970254
445,flu jab for child,0.5293187
446,nasal flu vaccine,0.5292479
447,mayo clinic symptoms,0.5291628
448,health symptoms,0.52900004
449,stomach virus symptoms,0.5284971
450,crohns disease symptoms,0.5275638
451,lung infection symptoms,0.5271386
452,swine flu outbreak,0.52530956
453,influenza type a,0.52516645
454,sinus infection symptoms,0.5249836
455,swine flu virus,0.524871
456,pig flu,0.5246829
457,flu jab nhs,0.52444637
458,chills and sore throat,0.5244226
459,flu vaccine ingredients,0.52400863
460,best flu medicine uk,0.52346396
461,flu medicine uk,0.52340883
462,vomiting bug symptoms,0.5231049
463,symptoms of sinus infection,0.5230879
464,swine flu news,0.52294135
465,flu jab for children,0.5228206
466,cold and flu relief,0.5228137
467,flu vaccinations,0.5224623
468,book flu jab,0.5223199
469,hong kong flu,0.5222475
470,swine flu cases,0.5220932
471,gluten symptoms,0.52203953
472,sneezing covid symptom,0.52181524
473,uk flu deaths 2019,0.5210663
474,flu vaccine pregnant,0.5202677
475,nhs child flu,0.5201652
476,how did spanish flu end,0.51971114
477,cold or flu nhs,0.51943755
478,respiratory symptoms,0.5194033
479,child flu spray,0.5186703
480,what are the symptoms of scarlet fever,0.51807547
481,stomach flu nhs,0.5179872
482,influenza vaccination,0.5174703
483,what are the symptoms of hayfever,0.51744217
484,symptoms of hayfever,0.5173901
485,live flu vaccine,0.51685226
486,symptoms of malaria,0.5167558
487,symptoms of a sinus infection,0.5165411
488,fever and vomiting,0.51647985
489,the flu shot,0.5154686
490,viral meningitis symptoms,0.5152899
491,cough and fever,0.5152509
492,malaria symptoms,0.51523995
493,all symptoms,0.51514053
494,bird flu virus,0.51444393
495,signs of bronchitis,0.51428264
496,tattoo flu,0.51425266
497,sainsburys flu jab,0.51394695
498,typhoid fever symptoms,0.51343894
499,symptoms norovirus,0.51336455
500,symptom of scarlet fever,0.51228577
501,my symptoms,0.51221955
502,private flu jab,0.5122185
503,avian bird flu,0.5115836
504,flu jab near me,0.5114237
505,aids symptoms,0.5113696
506,beechams flu plus,0.51120293
507,flu vaccine uk,0.51112545
508,swine flu cdc,0.5107918
509,flu vaccine 2017,0.51073277
510,flue,0.5104705
511,flu vaccine for child,0.51035285
512,swine flu 2016,0.5102124
513,runny nose and sneezing,0.50939786
514,flu jab in pregnancy,0.5092756
515,symptoms of aids,0.5088947
516,flu vaccine 2020,0.5081652
517,no fever,0.5079917
518,flu vaccine nhs,0.5077418
519,flu vaccine for children,0.50708103
520,how to tell if you have a fever,0.5066272
521,encephalitis symptoms,0.5054183
522,symptoms of cystic fibrosis,0.50539446
523,avian flu latest,0.5040257
524,signs of scarlet fever,0.5040049
525,fever,0.50397885
526,nhs direct flu,0.50394195
527,allergy symptoms,0.50348806
528,the symptoms,0.5034523
529,boots flu,0.5034324
530,ibd symptoms,0.5034113
531,book flu vaccine,0.5033041
532,flu jab while pregnant,0.50316656
533,flu vaccine 2018,0.5030997
534,swine flu epidemic,0.5030607
535,flu jab when pregnant,0.502485
536,ibs symptoms,0.5024666
537,chills and fever,0.5022451
538,allergies symptoms,0.50224435
539,have fever,0.5014405
540,is sneezing a covid symptom,0.50127625
541,fever with chills,0.5011753
542,seasonal flu vaccine,0.4998981
543,feeling unwell,0.49983323
544,tooth infection symptoms,0.4997226
545,symptoms of norovirus,0.49971104
546,why do i feel sick,0.49963668
547,sinus infections signs and symptoms,0.499632
548,winter vomiting bug symptoms,0.49921775
549,child flu vaccine,0.4989469
550,cold and flu remedies,0.49873877
551,booking flu jab,0.49862814
552,bird flu pandemic,0.49855044
553,headache and feeling sick,0.49756455
554,body aches no fever,0.4975595
555,dog illness symptoms,0.49608198
556,hay fever or cold,0.49589053
557,h1n1 influenza,0.49563938
558,signs of sinus infection,0.49554995
559,bursitis symptoms,0.49549228
560,symptoms of pneumonia in adults,0.49527615
561,cold flu remedies,0.49453056
562,pneumonia symptoms in adults,0.49451822
563,post nasal drip symptoms,0.4933296
564,symptoms of meningitis,0.49319467
565,meningitis symptoms,0.49285018
566,bubonic plague symptoms,0.49272937
567,what is influenza b,0.4924447
568,symptoms for measles,0.4921562
569,stomach bug symptoms,0.49204996
570,lemsip max cold and flu,0.4919492
571,shock symptoms,0.49179253
572,swine flu latest,0.4917351
573,ms symptoms,0.49154884
574,sore throat no fever,0.49144053
575,headache symptoms,0.4914064
576,medical symptoms diagnosis,0.49137527
577,symptoms of scarlet fever in adults,0.4908717
578,allergic reaction symptoms,0.49066585
579,swine flu uk,0.49061465
580,how long did the spanish flu last,0.4902287
581,swine flu death,0.49015296
582,sinus symptoms,0.48990107
583,signs of a sinus infection,0.4896145
584,bacterial meningitis symptoms,0.48937792
585,symptoms of mono,0.48937702
586,rotavirus symptoms,0.48932457
587,knee pain symptoms,0.4890722
588,symptoms of coronavirus,0.4890083
589,chronic bronchitis symptoms,0.48897928
590,salmonella poisoning symptoms,0.48870713
591,covid symptoms headache,0.48793316
592,fever contagious,0.4878767
593,what is the swine flu,0.48785946
594,flu vaccine baby,0.48752695
595,symptoms of an,0.48749542
596,headache and fever,0.48747718
597,swine flu update,0.48746163
598,be sick,0.4873276
599,sore throat and fever,0.48687077
600,feel unwell,0.4866296
601,chicken pox symptoms,0.48648608
602,mono symptoms,0.4864711
603,scarlet fever symptoms in adults,0.48619276
604,cmv symptoms,0.4860471
605,baby flu jab,0.48589525
606,symptoms of allergies,0.48547602
607,swine flu deaths,0.48541492
608,china bird flu,0.48475718
609,swine flu nhs,0.4847167
610,flu vaccine 2016,0.4846183
611,celiacs disease symptoms,0.4845743
612,lloyds flu jab,0.48430473
613,scabies symptoms,0.48379564
614,symptoms of celiac disease,0.48368347
615,sickness diarrhea,0.48362213
616,runny nose covid symptom,0.48361614
617,coronavirus cough symptoms,0.48352006
618,symptoms of ms,0.48347235
619,labor symptoms,0.4834453
620,gastroenteritis symptoms,0.48338297
621,what is the flu vaccine,0.4831398
622,diagnose symptoms,0.4828584
623,baby swine flu,0.48277485
624,symptoms of salmonella poisoning,0.48221114
625,celiac disease symptoms,0.4819104
626,beechams cold and flu,0.48188198
627,stop feeling sick,0.4816457
628,ra symptoms,0.48162246
629,asperger symptoms,0.48143995
630,ringworm symptoms,0.4812423
631,symptoms of ibs,0.4812116
632,symptoms of measles,0.48027647
633,signs of hayfever,0.48020953
634,fatigue symptoms,0.48016798
635,coronavirus symptoms,0.48004016
636,symptoms of parasites,0.4800054
637,signs of meningitis,0.4797038
638,fever pain,0.47954592
639,vasculitis symptoms,0.47947675
640,cold and fever,0.47942567
641,gluten allergy symptoms,0.47941238
642,hay fever,0.47937343
643,spastic colon symptoms,0.47914398
644,diarrhea and sickness,0.47899097
645,symptoms of tonsillitis,0.47893292
646,measles symptoms,0.47883266
647,balanced flue,0.47880697
648,sickness virus,0.4785855
649,diagnose my symptoms,0.47841945
650,fevers,0.47837886
651,sinusitis symptoms,0.4781947
652,eye infection symptoms,0.47795975
653,how many people die of flu each year uk,0.47789544
654,strep throat symptoms,0.47778666
655,symptoms of depression,0.47723347
656,symptoms kidney infection,0.47680235
657,asthma symptoms,0.4767828
658,swine flu jab,0.4765088
659,gastric flu,0.4764642
660,coughing and vomiting,0.47642374
661,swine flu map,0.47634304
662,flu vaccine near me,0.476227
663,pregnant symptoms,0.47576222
664,lymphoma symptoms,0.47573662
665,flu vaccine in pregnancy,0.47561422
666,hay fever cough,0.4753486
667,symptoms of gluten allergy,0.47519636
668,pharmacy flu jab,0.47517315
669,chills and body aches,0.4750273
670,symptoms of ringworm,0.47487283
671,symptoms of west nile virus,0.47485596
672,swine flu game,0.4748141
673,symptoms of pneumonia in children,0.4746982
674,cold and flu medicine,0.47428763
675,whooping cough symptoms,0.4739507
676,listeria symptoms,0.4737239
677,bird flue,0.47346708
678,covid symptoms 2023,0.4734093
679,nausea and diarrhea,0.47324568
680,clamidia symptoms,0.47322524
681,symptoms of hiv,0.4728482
682,symptoms of a,0.47200343
683,symptoms of schizophrenia,0.47195435
684,symptoms of sinusitis,0.4718644
685,child nasal flu vaccine,0.4718292
686,symptoms of listeria,0.47182158
687,bird flu wales,0.4714687
688,shingles symptoms,0.47139406
689,symptoms of scabies,0.47134766
690,covid symptoms sore throat,0.4712318
691,symptoms diabetes,0.47088188
692,fibromyalgia symptoms,0.47044325
693,flu vaccine when pregnant,0.46977046
694,west nile virus symptoms,0.46951056
695,strep symptoms,0.46946466
696,symptoms of chicken pox,0.4690808
697,symptoms of fibromyalgia,0.46848756
698,diagnosis from symptoms,0.46829876
699,bird flu uk,0.4682226
700,gluten intolerance symptoms,0.46822143
701,boots flu jabs,0.4680628
702,swine flu spread,0.46795297
703,celiac symptoms,0.46789455
704,how long did spanish flu last,0.46778408
705,hepatitis symptoms,0.4674885
706,symptoms for diabetes,0.46727863
707,cold and flu tablets,0.46714622
708,get sick,0.4667554
709,flu vaccine 2017 uk,0.4666863
710,what is swine flu,0.46639574
711,symptoms of shingles,0.46622157
712,symptoms of ra,0.46586967
713,cough fever,0.46583503
714,sore throat and runny nose,0.4658277
715,runny nose and cough,0.4658249
716,best cold and flu medicine,0.46580452
717,what are the symptoms of measles,0.46578994
718,pregnancy symptoms,0.4653514
719,symptoms of asthma,0.46528918
720,diagnose your symptoms,0.46523458
721,symptoms of strep throat,0.46513897
722,schizophrenia symptoms,0.46506715
723,symptoms of gluten intolerance,0.4648043
724,feeling nauseous,0.46470243
725,whiplash symptoms,0.4646384
726,tonsillitis symptoms,0.4645124
727,symptoms of whooping cough,0.46401244
728,rsv symptoms,0.4639559
729,cheerleader flu shot,0.4639241
730,best medicine for cold and flu,0.46388468
731,high fever,0.46378866
732,feeling nausea,0.46369994
733,flu jab vaccine,0.46303174
734,symptoms of celiac,0.46280846
735,ulcerative colitis symptoms,0.46249604
736,symptoms of bronchitis in adults,0.46237153
737,sars symptoms,0.46220854
738,flu vaccine 2018 uk,0.4621082
739,gingivitis symptoms,0.461998
740,hantavirus symptoms,0.46186832
741,croup symptoms,0.4617187
742,sickness,0.46165222
743,sore throat symptoms,0.46162385
744,where can i get flu jab,0.46149474
745,extreme fatigue symptoms,0.461438
746,symptoms of strep,0.4611845
747,walking pneumonia symptoms,0.4608121
748,symptoms of lymphoma,0.46063226
749,cold sore symptoms,0.46050018
750,cold fever,0.46047515
751,coronavirus or flu or cold,0.4602478
752,is runny nose a symptom of covid,0.45989883
753,hiv symptoms,0.45956326
754,asthma attack symptoms,0.4593489
755,symptoms of whiplash,0.45934314
756,symptoms of croup,0.45934302
757,osteoarthritis symptoms,0.45901906
758,incubation period for swine flu,0.45896047
759,wine flu,0.4579972
760,lymes disease symptoms,0.45789695
761,coronavirus symptoms sore throat,0.4578303
762,is sneezing a symptom,0.4577766
763,symptoms of hepatitis,0.45777303
764,shivering,0.45771733
765,feel nauseous,0.4576888
766,is a runny nose a symptom of covid,0.45743567
767,webmd symptoms,0.45716748
768,illnesses,0.45711744
769,symptoms of chickenpox,0.45703423
770,sick virus,0.45656055
771,symptoms of diabetes,0.45625287
772,symptoms of kidney infection,0.45600063
773,concussion symptoms,0.45594063
774,sickness bug,0.4558937
775,clinical depression symptoms,0.4555903
776,flu vaccine for pregnant,0.45545843
777,symptom diagnosis,0.4553847
778,lyme disease symptoms,0.45485985
779,symptoms of period,0.45446482
780,24 hour sickness,0.45430028
781,lupus symptoms,0.45414478
782,symptoms of ulcerative colitis,0.4540403
783,head cold symptoms,0.45340228
784,yeast infections symptoms,0.45326367
785,tesco flu jab,0.45294678
786,symptoms nhs,0.45277196
787,swine flu treatment,0.4527647
788,flu vaccine pharmacy,0.4526997
789,severe hay fever,0.45238414
790,swine flu vaccine,0.45226443
791,ncov symptoms,0.45213467
792,hypochondriac symptoms,0.4518998
793,twin wall flue,0.45161283
794,eye symptoms,0.45160162
795,gluten sensitivity symptoms,0.45150214
796,symptoms of labor,0.45147693
797,superdrug flu jab,0.45104957
798,what are the symptoms of hiv,0.45103338
799,symptoms of lupus,0.45092416
800,tuberculosis symptoms,0.45089376
801,stress symptoms,0.45074433
802,headache and chills,0.45053232
803,vomiting virus,0.45017493
804,michael jordan flu game,0.44990984
805,symptoms of a kidney infection,0.44986063
806,urinary tract infection symptoms,0.44979373
807,symptoms of fatigue,0.44939327
808,bird flu map,0.44898608
809,yeast infection symptoms,0.44875962
810,nausea,0.44873464
811,symptoms of lyme disease,0.4486614
812,egg allergy symptoms,0.4485959
813,cirrhosis symptoms,0.44852698
814,anaphylaxis symptoms,0.44846985
815,lemsip cold and flu capsules,0.44845438
816,have a fever,0.4483014
817,boots flu vaccine,0.4481519
818,symptoms of a urinary tract infection,0.4476537
819,green book influenza,0.44749618
820,uti symptoms,0.447105
821,fever virus,0.44654107
822,symptoms of urinary tract infection,0.4465317
823,nausea and fatigue,0.4459553
824,symptoms of sore throat,0.4459129
825,symptoms of hiv aids,0.445899
826,swine flu incubation period,0.4458571
827,add symptoms,0.44581187
828,symptoms of meningitis in adults,0.44562516
829,diabetes symptoms signs,0.44509834
830,sore throat covid symptom,0.4450854
831,aspergers symptoms,0.4449597
832,early symptoms of ms,0.4446988
833,fever sore,0.44465148
834,nausea and vomiting,0.44406566
835,fluoxetine side effects,0.44388673
836,how to stop feeling sick,0.4436535
837,signs of whooping cough,0.44299114
838,symptoms of aids in women,0.4429125
839,smallpox symptoms,0.44208235
840,signs of tonsillitis,0.44198442
841,tb symptoms,0.44193
842,mad cow disease symptoms,0.4416498
843,candida symptoms,0.44103253
844,headache and nausea,0.4409351
845,can humans get bird flu,0.44033495
846,broken nose symptoms,0.44027823
847,covid 19 sneezing,0.44026846
848,symptoms checker,0.4397952
849,signs of aids,0.43971574
850,mucus and runny nose difficult to spell condition,0.43955553
851,meningitis symptoms in adults,0.43952897
852,symptoms of pregnancy,0.43952835
853,symptoms of multiple sclerosis,0.4394781
854,signs of asthma,0.4391418
855,fibroid symptoms,0.43900412
856,schizoaffective disorder symptoms,0.43888792
857,symptoms of shock,0.4388833
858,hay fever sore throat,0.43863416
859,boots flu jab,0.4384762
