,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019
32,have the flu (0.44),symtoms of swine flu (0.29),bleeding a radiator (-0.22),norovirus how long (-0.39),how long does norovirus last (-0.26)
33,swine flu symptoms in children (0.43),swine flu vaccine side effects (-0.29),catarrh (-0.22),cold symptoms (0.38),buy tamiflu (0.26)
34,flu bug (0.42),h1n1 (-0.28),news flu (0.22),get rid of cough (-0.37),man flu (0.25)
35,flu when pregnant (-0.42),starve a fever (0.27),flu virus symptoms (0.21),flu symptoms last (0.37),body temperature (0.25)
36,flu incubation period (-0.41),flu cough (0.27),how to get rid of flu (0.21),flu cough (0.36),influenza symptoms (0.25)
37,news flu (0.40),flu remedies (0.26),temperature fever (0.21),chilblains (0.36),influenza (0.24)
38,influenza symptoms (0.39),symptoms of bronchitis (0.26),high fever (0.20),flu virus (0.36),recover from flu (0.22)
39,flu recovery (0.39),pregnant flu (0.25),cold one (-0.20),noro virus (-0.36),how long is flu contagious (0.20)
40,flu jab side effects (-0.38),boots flu (-0.25),painful cough (0.20),mucus (0.35),flu statistics (-0.20)
41,flu symptom (-0.36),flu temperature (0.25),cough up (0.19),amoxicillin (0.35),antibiotics for chest infection (-0.19)
42,flu last (-0.35),cold cure (-0.24),cough headache (0.19),how to cough (0.33),how long does a flu last (-0.19)
43,swine flu nhs (-0.35),signs of flu (0.24),glands (-0.18),swine flu uk (0.33),cure flu (0.18)
44,cold weather flying (0.35),flu when pregnant (-0.24),how long is flu contagious (0.18),how long does flu last (-0.33),what is a chest infection (-0.18)
45,swine flu deaths (0.33),influenza b (0.24),very cold (0.18),symptoms of the flu (-0.32),flu home remedies (0.18)
46,man flu (0.33),how long does the flu last (0.22),how long flu (0.18),cold a (-0.32),nose cold (-0.18)
47,flu vaccine uk (-0.32),what is the flu (-0.22),body temperature (0.18),how to get rid of a cough (0.31),baby flu (-0.18)
48,flu remedies (0.32),flu duration (0.21),chest infection symptoms (0.17),flu last (0.31),feed a cold starve (0.17)
49,flu in toddlers (-0.32),flu recovery (0.21),flu outbreak (0.17),sore throat (-0.30),what to eat when you have the flu (0.17)
